dummy	st_date	st_time	rn	Sensor	Source	SensorHeight	SourceArea	CE	CE_se	CE_lo	CE_hi	uCE	uCE_se	uCE_lo	uCE_hi	vCE	vCE_se	vCE_lo	vCE_hi	wCE	wCE_se	wCE_lo	wCE_hi	N_TD	TD_Time_avg	TD_Time_max	Max_Dist	UCE	Ustar	L	Zo	sUu	sVu	sWu	z_sWu	WD	d	N0	MaxFetch	et	Sonic_raw	SH	UST	sigW	sigU	sigV	WS	airT	Pair	kv	A	alpha	bw	C0	NH3_east	CH4_east	CO2_east	N2O_east	NH3_west	CH4_west	CO2_west	N2O_west	NH3_bg	CH4_bg	CO2_bg	N2O_bg	dNH3_east	dCH4_east	dCO2_east	dN2O_east	dNH3_west	dCH4_west	dCO2_west	dN2O_west	emis_NH3	emis_CH4	emis_N2O	emis_NH3_gap	emis_CH4_gap	emis_N2O_gap	cum_NH3_gN	cum_CH4_gCH4	cum_N2O_mgN
1	2022-11-24	10:30:00	4	CRDS_w	Plot_west	0.5	56.4699707	2.916842943	0.037291662	2.843751744	2.989934141	-0.890608484	0.030537651	-0.950461906	-0.830755063	0.176716561	0.035531605	0.107075052	0.24635807	0.687833602	0.017738018	0.653067306	0.722599898	56361	2.679931158	24.5	9.23	2.604375685	0.2762848	-3476.1	0.08818	3.095	3.294	1.744	1.947	141.831	0.053	100000	63	24-11-2022 11:00	Sonic	0.564643753	0.27628482	1.744466534	3.094799355	3.294076469	2.137416856	6.028971852	102175.1624	0.4	0.5	0.02	1.743	9.39	1.87015991	1371.798266	777581.5305	593.741477	0.210661774	1366.707206	777969.0871	591.5014617	0.668468319	1366.191823	777651.5039	597.9031725	0.106091591	5.606443114	-69.97341969	-4.161695529	0.092993456	0.515382849	317.583154	-6.401710848	0.220441576	0.176692012	-2.194739646	0.220441576	0.176692012	-2.194739646	NaN	NaN	NaN
2	2022-11-24	11:00:00	5	CRDS_w	Plot_west	0.5	56.4699707	2.516642786	0.035291377	2.44747212	2.585813452	-0.963846639	0.031580429	-1.025743893	-0.901949386	0.285037095	0.028705231	0.228775194	0.341298995	0.58536017	0.015793063	0.554405961	0.616314379	45008	2.845534127	25.4	8.97	2.55670851	0.2606107	-1155.7	0.05832	3.448	3.403	1.693	1.947	139.158	0.053	100000	64	24-11-2022 11:30	Sonic	1.425193353	0.260610702	1.693485647	3.447909307	3.403482963	2.285491286	5.991064729	102210.0569	0.4	0.5	0.02	1.69	8.67	1.861208306	1373.609245	778997.3951	593.9579127	1.007542524	1368.567364	781244.1831	592.2502599	0.639301744	1367.83193	778521.8539	596.2025635	0.126306562	5.777315518	475.5411864	-2.244650835	0.91904078	0.735434297	2722.329141	-3.952303633	0.583730352	0.292228321	-1.570466677	0.583730352	0.292228321	-1.570466677	NaN	NaN	NaN
3	2022-11-24	11:30:00	6	CRDS_w	Plot_west	0.5	56.4699707	1.863110086	0.031667898	1.801041394	1.925178777	-0.981167778	0.0321366	-1.044155118	-0.918180438	0.301092306	0.026424694	0.249300231	0.352884381	0.486339811	0.016529466	0.453942261	0.518737361	33720	2.640937129	16.7	9.94	2.887041205	0.2777831	-584.7	0.02507	3.566	3.35	1.6	1.947	126.763	0.053	100000	71	24-11-2022 12:00	Sonic	3.411470711	0.277783062	1.600037556	3.566446305	3.349861291	3.02248828	6.020738464	102156.541	0.4	0.5	0.02	1.595	7.495	1.819063858	1376.397568	779698.8899	592.4293859	33.67733649	1370.896796	778628.6936	596.9189889	0.588658015	1370.99911	777433.4468	596.9141735	0.134805843	5.39845733	2265.443083	-4.484787604	33.63947848	-0.102314673	1195.246794	0.004815377	18.35075595	-0.054916064	0.002584591	18.35075595	-0.054916064	0.002584591	NaN	NaN	NaN
4	2022-11-24	12:00:00	7	CRDS_w	Plot_west	0.5	56.4699707	2.277238822	0.036009406	2.206660829	2.347816815	-1.036817507	0.036048751	-1.107472616	-0.966162397	0.322724808	0.032062855	0.259882007	0.385567609	0.570181343	0.017622135	0.535642174	0.604720511	41729	2.719600278	16	9.61	2.978635658	0.2827982	-304.6	0.04104	3.384	3.178	1.629	1.947	129.172	0.053	100000	70	24-11-2022 12:30	Sonic	6.917206976	0.282798229	1.629005743	3.383955837	3.178485639	2.728575413	6.305404007	102180.707	0.4	0.5	0.02	1.619	7.778	1.895559858	1384.734869	776772.75	591.8480222	40.03601003	1378.823392	776662.5972	596.5054896	0.619306049	1379.167509	775330.6356	596.2310071	0.180653809	5.567360001	1442.114417	-4.382984896	39.96750398	-0.344117434	1331.961662	0.274482471	17.79238242	-0.151111702	0.120533019	17.79238242	-0.151111702	0.120533019	0.026339182	-0.000272001	0.069045185
5	2022-11-24	12:30:00	8	CRDS_w	Plot_west	0.5	56.4699707	2.695649277	0.036496437	2.624116709	2.767181845	-0.917017365	0.029192152	-0.974233624	-0.859801106	0.168352554	0.032711306	0.104238796	0.232466311	0.759884796	0.020677385	0.719357376	0.800412216	55071	2.236534655	16.7	6.71	2.598545772	0.3107929	-2702.8	0.09327	2.768	2.941	1.643	1.947	150.462	0.053	100000	57	24-11-2022 13:00	Sonic	1.035295608	0.310792916	1.642526867	2.768433446	2.941194105	2.360795512	6.454953519	102236.2165	0.4	0.5	0.02	1.642	8.058	1.963977087	1371.172282	775420.4998	591.253396	24.58360761	1366.159079	775570.3671	595.142484	0.748614709	1365.614489	774705.9426	594.9648286	0.119762378	5.557793044	714.557194	-3.711432611	24.3857929	0.544589671	864.4244501	0.177655344	9.250384725	0.202025417	0.065904473	9.250384725	0.202025417	0.065904473	0.040033108	9.16E-05	0.106797383
6	2022-11-24	13:00:00	9	CRDS_w	Plot_west	0.5	56.4699707	3.358207178	0.039419291	3.280945853	3.435468503	-1.110947601	0.032256255	-1.174169465	-1.047725738	0.092060406	0.036093995	0.021316621	0.162804192	0.719496182	0.019155853	0.681950945	0.757041419	61404	2.738157123	24.5	7.2	2.434529161	0.3179334	1722.7	0.1326	2.722	2.874	1.416	1.947	147.799	0.053	100000	59	24-11-2022 13:30	Sonic	-1.739671226	0.317933448	1.41573857	2.721567024	2.873740774	2.135054067	6.586754499	102304.3159	0.4	0.5	0.02	1.416	5.673	1.970396937	1371.865468	774068.4204	592.2088641	34.8294279	1366.964094	774844.606	596.8323278	0.801023133	1366.306137	773582.765	596.0438034	0.073773804	5.559330717	485.6554422	-3.83493929	34.57920477	0.657957582	1261.841025	0.788524454	10.46070207	0.19592525	0.234805184	10.46070207	0.19592525	0.234805184	0.055518743	0.00044431	0.241301334
7	2022-11-24	13:30:00	10	CRDS_w	Plot_west	0.5	56.4699707	3.041232374	0.036632784	2.969432568	3.113032181	-1.061121749	0.033449755	-1.126682858	-0.99556064	0.167315375	0.029979387	0.108556146	0.226074605	0.68683004	0.018394432	0.650777179	0.7228829	58766	2.599418031	22	9.25	2.658777079	0.3179628	2682	0.1074	2.875	2.68	1.509	1.947	141.775	0.053	100000	63	24-11-2022 14:00	Sonic	-1.118133023	0.317962828	1.508672714	2.874867529	2.679584306	2.302925066	6.685835576	102349.8759	0.4	0.5	0.02	1.509	6.558	2.023427096	1371.173823	774092.4249	592.6540067	33.92099128	1366.304911	774554.8793	594.6626115	0.789219323	1365.58974	773519.1877	595.54971	0.138607773	5.584083121	573.2371367	-2.895703252	33.68257196	0.715171052	1035.691599	-0.887098491	11.25615137	0.235158306	-0.291690467	11.25615137	0.235158306	-0.291690467	0.072181932	0.000867595	0.074211666
8	2022-11-24	14:00:00	11	CRDS_w	Plot_west	0.5	56.4699707	3.773023837	0.041331583	3.692014442	3.854033232	-1.01933535	0.03056655	-1.079245413	-0.959425288	0.012622917	0.031689521	-0.049488154	0.074733988	0.788491067	0.018097824	0.753019554	0.823962579	67009	2.666828336	21.8	6.66	2.347863174	0.2943451	2144	0.1488	2.448	2.682	1.485	1.947	150.127	0.053	100000	57	24-11-2022 14:30	Sonic	-1.109965881	0.294345057	1.484898685	2.448320931	2.682462428	1.891875039	6.779068776	102336.0963	0.4	0.5	0.02	1.485	6.317	2.105199694	1370.093266	772962.633	590.7029522	24.53550285	1365.144417	773326.1114	595.424544	0.850452849	1364.570146	772473.9168	595.6139137	0.159146845	5.523120213	488.7161886	-4.910961522	24.23585	0.574270587	852.1945821	-0.189369747	6.569226984	0.152204336	-0.050190446	6.569226984	0.152204336	-0.050190446	0.081906771	0.001141563	0.045460967
9	2022-11-24	14:30:00	12	CRDS_w	Plot_west	0.5	56.4699707	2.845963614	0.052852662	2.742373045	2.949554183	-0.995588397	0.033753846	-1.061745521	-0.929431273	0.128172804	0.033478449	0.062555455	0.193790153	0.716605579	0.018787145	0.679783006	0.753428152	57626	2.193397078	18.1	7.04	2.601444111	0.3473886	634.4	0.117	2.578	2.672	1.468	1.947	154.206	0.053	100000	58	24-11-2022 15:00	Sonic	-6.165681267	0.347388628	1.467894339	2.578286113	2.672318409	2.441862449	6.750898072	102388.8745	0.4	0.5	0.02	1.468	6.152	2.042876176	1371.136226	772062.7012	592.6631371	24.29026976	1366.10181	772842.5108	595.9647107	0.890963133	1365.597321	771815.2855	594.9134962	0.056313042	5.538904751	247.4156817	-2.250359113	23.95010663	0.504488968	1027.225316	1.051214512	8.608720965	0.177264729	0.369370327	8.608720965	0.177264729	0.369370327	0.094650802	0.001460639	0.257048154
10	2022-11-24	15:00:00	NaN	<undefined>	<undefined>	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaT	<undefined>	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.022691957	1368.209069	771188.0343	593.2104195	20.72683385	1363.141853	771798.4005	594.898059	0.874658239	1362.623152	771042.0929	595.3037598	0.052433717	5.585917168	145.9413332	-2.093340369	20.40297561	0.518700874	756.3076195	-0.40570085	NaN	NaN	NaN	8.269377402	0.143209223	0.339870633	0.106892482	0.001718416	0.451736969
